att0;att1;att2;IN;OUT
S;S;S;S;S
*;*;*;*;*
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
22;3;8;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
0;0;0;1;2
19;22;26;1;2
0;0;0;2;1
25;27;9;2;1
0;22;26;2;1
0;0;0;2;1
0;0;0;2;1
0;0;0;2;1
0;0;0;2;1
0;0;0;2;1
0;0;0;2;1
0;0;0;2;1
0;0;0;2;1
0;0;0;2;1
11;18;23;2;1
0;0;0;2;1
0;0;0;2;1
0;0;0;2;1
0;0;0;2;1
0;0;0;2;1
0;0;0;2;1
0;0;0;2;1
18;24;19;2;1
0;0;0;1;3
0;0;0;1;3
0;0;0;1;3
0;0;0;1;3
0;0;0;1;3
0;0;0;1;3
0;0;0;1;3
0;0;0;1;3
29;3;3;1;3
18;27;22;1;3
15;23;15;1;3
0;0;0;1;3
18;29;7;1;3
16;21;14;1;3
0;0;0;1;3
26;2;25;1;3
0;0;0;1;3
0;0;0;1;3
0;0;0;1;3
0;0;0;1;3
3;26;11;1;3
0;0;0;3;1
0;0;0;3;1
0;0;0;3;1
0;0;0;3;1
0;0;0;3;1
0;0;0;3;1
0;0;0;3;1
18;10;9;3;1
0;0;0;3;1
0;0;0;3;1
0;0;0;3;1
0;0;0;3;1
24;23;20;3;1
0;0;0;3;1
0;0;0;3;1
0;0;0;3;1
9;2;9;3;1
0;0;0;3;1
0;0;0;3;1
0;0;0;3;1
24;27;12;3;1
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
0;0;0;1;5
21;15;28;1;5
0;0;0;5;1
0;0;0;5;1
0;0;0;5;1
0;0;0;5;1
0;0;0;5;1
0;0;0;5;1
0;0;0;5;1
0;0;0;5;1
0;0;0;5;1
0;0;0;5;1
7;6;2;5;1
0;0;0;5;1
0;0;0;5;1
0;0;0;5;1
0;0;0;5;1
2;11;8;5;1
25;7;7;5;1
0;0;0;5;1
0;0;0;5;1
0;0;0;5;1
27;27;19;5;1
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
0;0;0;1;6
24;25;3;1;6
0;0;0;6;1
0;0;0;6;1
0;0;0;6;1
0;0;0;6;1
0;0;0;6;1
0;0;0;6;1
0;0;0;6;1
6;25;13;6;1
0;0;0;6;1
0;0;0;6;1
0;0;0;6;1
1;25;28;6;1
0;0;0;6;1
0;0;0;6;1
0;0;0;6;1
0;0;0;6;1
0;0;0;6;1
0;0;0;6;1
