timestamp_hour;user_language;device;Out;In
N;S;S;S;S
5;en;web;irish;alroker
5;en;web;alroker;irish
5;en;web;irish;wakeupwithal
5;en;web;wakeupwithal;irish
5;en;web;alroker;wakeupwithal
5;en;web;wakeupwithal;alroker
5;en;web;danyelledrexler;eileengoudge
5;en;web;eileengoudge;danyelledrexler
6;en;iphone;mikeyk;brunainbrooklyn
6;en;iphone;brunainbrooklyn;mikeyk
6;en;iphone;mikeyk;truedetective
6;en;iphone;truedetective;mikeyk
6;en;iphone;brunainbrooklyn;truedetective
6;en;iphone;truedetective;brunainbrooklyn
6;en;web;nextfitnessstar;rachelenicks
6;en;web;rachelenicks;nextfitnessstar
6;en;web;nextfitnessstar;pix11news
6;en;web;pix11news;nextfitnessstar
6;en;web;rachelenicks;pix11news
6;en;web;pix11news;rachelenicks
6;en;iphone;marycalvitv;alexdenistv
6;en;iphone;alexdenistv;marycalvitv
6;en;iphone;marycalvitv;dbrennantv
6;en;iphone;dbrennantv;marycalvitv
6;en;iphone;marycalvitv;johnelliotttv
6;en;iphone;johnelliotttv;marycalvitv
6;en;iphone;marycalvitv;devynalyss
6;en;iphone;devynalyss;marycalvitv
6;en;iphone;marycalvitv;cbsnewyork
6;en;iphone;cbsnewyork;marycalvitv
6;en;iphone;marycalvitv;hugefan
6;en;iphone;hugefan;marycalvitv
6;en;iphone;alexdenistv;dbrennantv
6;en;iphone;dbrennantv;alexdenistv
6;en;iphone;alexdenistv;johnelliotttv
6;en;iphone;johnelliotttv;alexdenistv
6;en;iphone;alexdenistv;devynalyss
6;en;iphone;devynalyss;alexdenistv
6;en;iphone;alexdenistv;cbsnewyork
6;en;iphone;cbsnewyork;alexdenistv
6;en;iphone;alexdenistv;hugefan
6;en;iphone;hugefan;alexdenistv
6;en;iphone;dbrennantv;johnelliotttv
6;en;iphone;johnelliotttv;dbrennantv
6;en;iphone;dbrennantv;devynalyss
6;en;iphone;devynalyss;dbrennantv
6;en;iphone;dbrennantv;cbsnewyork
6;en;iphone;cbsnewyork;dbrennantv
6;en;iphone;dbrennantv;hugefan
6;en;iphone;hugefan;dbrennantv
6;en;iphone;johnelliotttv;devynalyss
6;en;iphone;devynalyss;johnelliotttv
6;en;iphone;johnelliotttv;cbsnewyork
6;en;iphone;cbsnewyork;johnelliotttv
6;en;iphone;johnelliotttv;hugefan
6;en;iphone;hugefan;johnelliotttv
6;en;iphone;devynalyss;cbsnewyork
