followers_count;friends_count;tweets_count;44.391643516091975@23.159677682342053;44.315988@23.818359
N;N;N;44.315988@23.818359;44.29844994776969@24.402314492323608
2;2;2;44.29844994776969@24.402314492323608;44.351118152120485@23.341791630955303
2;2;2;44.351118152120485@23.341791630955303;44.889424527442685@23.960970697645276
2;2;2;44.889424527442685@23.960970697645276;43.46084400349923@23.975774627524885
2;2;2;43.46084400349923@23.975774627524885;44.64680010013528@23.20292820976948
2;2;2;44.64680010013528@23.20292820976948;44.40446080879215@23.953536570796015
2;2;2;44.40446080879215@23.953536570796015;44.18593375168617@23.769879901486856
2;2;2;44.18593375168617@23.769879901486856;44.09051846584001@24.14130778735744
2;2;2;44.09051846584001@24.14130778735744;44.66376251969314@23.77379490100736
2;2;2;44.66376251969314@23.77379490100736;44.6240449587762@24.08347249542858
2;2;2;44.6240449587762@24.08347249542858;45.00138334367271@24.092331272179138
2;2;2;45.00138334367271@24.092331272179138;44.55033831045195@24.312914121854526
2;2;2;44.55033831045195@24.312914121854526;44.74421652327631@24.728457702115804
2;2;2;44.74421652327631@24.728457702115804;43.79401723931746@23.77846416630604
2;2;2;43.79401723931746@23.77846416630604;43.67351687345779@23.00140978137842
2;2;2;43.67351687345779@23.00140978137842;43.87692500855015@24.28543591328852
2;2;2;43.87692500855015@24.28543591328852;44.28189405244278@23.972410391551893
2;2;2;44.28189405244278@23.972410391551893;43.94916218711252@23.9733463072956
2;2;2;43.94916218711252@23.9733463072956;44.61479884874806@24.27581898293906
2;2;2;44.61479884874806@24.27581898293906;44.92223011339065@23.505887513934034
2;2;2;44.92223011339065@23.505887513934034;44.20117807597118@23.70555450810448
3;2;3;44.20117807597118@23.70555450810448;43.547714841247966@24.56985383484244
3;2;3;43.547714841247966@24.56985383484244;43.92116991202797@22.82805535024416
3;2;3;43.92116991202797@22.82805535024416;44.56587414638437@22.970799697228976
3;2;3;44.56587414638437@22.970799697228976;44.10230727065641@23.701204095342597
