followers_count;friends_count;tweets_count;Out;In
N;N;N;S;S
2;2;2;#sales;#job
2;2;2;#job;#sales
2;2;2;#sales;#glenmont
2;2;2;#glenmont;#sales
2;2;2;#sales;#jobs
2;2;2;#jobs;#sales
2;2;2;#sales;#hiring
2;2;2;#hiring;#sales
2;2;2;#job;#glenmont
2;2;2;#glenmont;#job
2;2;2;#job;#jobs
2;2;2;#jobs;#job
2;2;2;#job;#hiring
2;2;2;#hiring;#job
2;2;2;#glenmont;#jobs
2;2;2;#jobs;#glenmont
2;2;2;#glenmont;#hiring
2;2;2;#hiring;#glenmont
2;2;2;#jobs;#hiring
2;2;2;#hiring;#jobs
3;2;3;#newyork;#marketing
3;2;3;#marketing;#newyork
3;2;3;#newyork;#job
3;2;3;#job;#newyork
3;2;3;#newyork;#jobs
3;2;3;#jobs;#newyork
3;2;3;#newyork;#hiring
3;2;3;#hiring;#newyork
3;2;3;#newyork;#careerarc
3;2;3;#careerarc;#newyork
3;2;3;#marketing;#job
3;2;3;#job;#marketing
3;2;3;#marketing;#jobs
3;2;3;#jobs;#marketing
3;2;3;#marketing;#hiring
3;2;3;#hiring;#marketing
3;2;3;#marketing;#careerarc
3;2;3;#careerarc;#marketing
3;2;3;#job;#jobs
3;2;3;#jobs;#job
3;2;3;#job;#hiring
3;2;3;#hiring;#job
3;2;3;#job;#careerarc
3;2;3;#careerarc;#job
3;2;3;#jobs;#hiring
3;2;3;#hiring;#jobs
3;2;3;#jobs;#careerarc
3;2;3;#careerarc;#jobs
3;2;3;#hiring;#careerarc
3;2;3;#careerarc;#hiring
2;2;3;#nursing;#job
2;2;3;#job;#nursing
2;2;3;#nursing;#jobs
2;2;3;#jobs;#nursing
2;2;3;#nursing;#hiring
2;2;3;#hiring;#nursing
2;2;3;#job;#jobs
2;2;3;#jobs;#job
2;2;3;#job;#hiring
2;2;3;#hiring;#job
2;2;3;#jobs;#hiring
2;2;3;#hiring;#jobs
4;4;4;#love;#hair
4;4;4;#hair;#love
4;4;4;#love;#thankyou
4;4;4;#thankyou;#love
4;4;4;#love;#best
4;4;4;#best;#love
4;4;4;#love;#business
4;4;4;#business;#love
4;4;4;#hair;#thankyou
4;4;4;#thankyou;#hair
4;4;4;#hair;#best
4;4;4;#best;#hair
4;4;4;#hair;#business
4;4;4;#business;#hair
4;4;4;#thankyou;#best
4;4;4;#best;#thankyou
4;4;4;#thankyou;#business
4;4;4;#business;#thankyou
4;4;4;#best;#business
4;4;4;#business;#best
1;1;4;@heatherorourke7;@kalaramatv
1;1;4;@kalaramatv;@heatherorourke7
1;1;4;@heatherorourke7;@amyfreeze
1;1;4;@amyfreeze;@heatherorourke7
1;1;4;@kalaramatv;@amyfreeze
1;1;4;@amyfreeze;@kalaramatv
2;2;2;#newyork;#job
2;2;2;#job;#newyork
2;2;2;#newyork;#healthcare
2;2;2;#healthcare;#newyork
2;2;2;#job;#healthcare
2;2;2;#healthcare;#job
1;2;2;@midnight;#badmoviemashups
1;2;2;#badmoviemashups;@midnight
3;2;3;#ff;@ae
3;2;3;@ae;#ff
2;2;4;@lindacohn;@sportscenter
2;2;4;@sportscenter;@lindacohn
2;2;4;@lindacohn;@espn
2;2;4;@espn;@lindacohn
2;2;4;@sportscenter;@espn
2;2;4;@espn;@sportscenter
3;3;3;#beautiful;#view
3;3;3;#view;#beautiful
3;3;3;#beautiful;#nyc
3;3;3;#nyc;#beautiful
3;3;3;#view;#nyc
3;3;3;#nyc;#view
3;1;2;#coupon;#jackson
3;1;2;#jackson;#coupon
3;1;2;#coupon;#newjersey
3;1;2;#newjersey;#coupon
3;1;2;#jackson;#newjersey
3;1;2;#newjersey;#jackson
2;2;3;@hillaryclinton;@monsantoco
2;2;3;@monsantoco;@hillaryclinton
3;2;3;#nyc;#hudsonyards
3;2;3;#hudsonyards;#nyc
2;3;4;#nyfw;#blogger
2;3;4;#blogger;#nyfw
2;3;4;#nyfw;#backstage
2;3;4;#backstage;#nyfw
2;3;4;#blogger;#backstage
2;3;4;#backstage;#blogger
3;1;2;#coupon;#jackson
3;1;2;#jackson;#coupon
3;1;2;#coupon;#newjersey
3;1;2;#newjersey;#coupon
3;1;2;#jackson;#newjersey
3;1;2;#newjersey;#jackson
3;1;2;#coupon;#jackson
3;1;2;#jackson;#coupon
3;1;2;#coupon;#newjersey
3;1;2;#newjersey;#coupon
3;1;2;#jackson;#newjersey
3;1;2;#newjersey;#jackson
2;2;3;#internship;#job
2;2;3;#job;#internship
2;2;3;#internship;#newyork
2;2;3;#newyork;#internship
2;2;3;#internship;#jobs
2;2;3;#jobs;#internship
2;2;3;#internship;#hiring
2;2;3;#hiring;#internship
2;2;3;#job;#newyork
2;2;3;#newyork;#job
2;2;3;#job;#jobs
2;2;3;#jobs;#job
2;2;3;#job;#hiring
2;2;3;#hiring;#job
2;2;3;#newyork;#jobs
2;2;3;#jobs;#newyork
2;2;3;#newyork;#hiring
2;2;3;#hiring;#newyork
2;2;3;#jobs;#hiring
2;2;3;#hiring;#jobs
2;2;3;@realdonaldtrump;@dhecei
2;2;3;@dhecei;@realdonaldtrump
2;2;2;#engineering;#job
2;2;2;#job;#engineering
2;2;2;#engineering;#newyork
2;2;2;#newyork;#engineering
2;2;2;#engineering;#hiring
2;2;2;#hiring;#engineering
2;2;2;#engineering;#careerarc
2;2;2;#careerarc;#engineering
2;2;2;#job;#newyork
2;2;2;#newyork;#job
2;2;2;#job;#hiring
2;2;2;#hiring;#job
2;2;2;#job;#careerarc
2;2;2;#careerarc;#job
2;2;2;#newyork;#hiring
2;2;2;#hiring;#newyork
2;2;2;#newyork;#careerarc
2;2;2;#careerarc;#newyork
2;2;2;#hiring;#careerarc
2;2;2;#careerarc;#hiring
2;2;2;#albany;#hospitality
2;2;2;#hospitality;#albany
2;2;2;#albany;#job
2;2;2;#job;#albany
2;2;2;#albany;#jobs
2;2;2;#jobs;#albany
2;2;2;#albany;#hiring
2;2;2;#hiring;#albany
2;2;2;#hospitality;#job
2;2;2;#job;#hospitality
2;2;2;#hospitality;#jobs
2;2;2;#jobs;#hospitality
2;2;2;#hospitality;#hiring
2;2;2;#hiring;#hospitality
2;2;2;#job;#jobs
2;2;2;#jobs;#job
2;2;2;#job;#hiring
2;2;2;#hiring;#job
2;2;2;#jobs;#hiring
2;2;2;#hiring;#jobs
3;3;3;@bibhumohapatra;#ss16
3;3;3;#ss16;@bibhumohapatra
3;3;3;@bibhumohapatra;#cfdanyfw
3;3;3;#cfdanyfw;@bibhumohapatra
3;3;3;#ss16;#cfdanyfw
3;3;3;#cfdanyfw;#ss16
2;2;3;#nyfw;#ss16
2;2;3;#ss16;#nyfw
2;2;3;#nyfw;#dvf
2;2;3;#dvf;#nyfw
2;2;3;#ss16;#dvf
2;2;3;#dvf;#ss16
2;1;3;#art;#job
2;1;3;#job;#art
2;1;3;#art;#newyork
2;1;3;#newyork;#art
2;1;3;#art;#hiring
2;1;3;#hiring;#art
2;1;3;#art;#careerarc
2;1;3;#careerarc;#art
2;1;3;#job;#newyork
2;1;3;#newyork;#job
2;1;3;#job;#hiring
2;1;3;#hiring;#job
2;1;3;#job;#careerarc
2;1;3;#careerarc;#job
2;1;3;#newyork;#hiring
2;1;3;#hiring;#newyork
